Contig	BARN	MASH
Mmercenaria_contig_1519	235	234
Mmercenaria_contig_152	122	103
Mmercenaria_contig_1520	185	68
Mmercenaria_contig_1521	154	117
Mmercenaria_contig_1522	251	158
Mmercenaria_contig_1523	314	202
Mmercenaria_contig_1524	99	64
Mmercenaria_contig_1525	79	237
Mmercenaria_contig_1526	653	380
Mmercenaria_contig_1527	470	454
Mmercenaria_contig_1528	132	101
Mmercenaria_contig_1529	57	63
Mmercenaria_contig_153	178	92
Mmercenaria_contig_1530	234	272
Mmercenaria_contig_1531	92	103
Mmercenaria_contig_1532	96	125
Mmercenaria_contig_1533	666	801
Mmercenaria_contig_1534	269	242
Mmercenaria_contig_1535	43	20
Mmercenaria_contig_1536	83	106
Mmercenaria_contig_1537	63	51
Mmercenaria_contig_1538	121	126
Mmercenaria_contig_1539	92	72
Mmercenaria_contig_154	170	121
Mmercenaria_contig_1540	324	94
Mmercenaria_contig_1541	0	108
Mmercenaria_contig_1542	107	75
Mmercenaria_contig_1543	305	202
Mmercenaria_contig_1544	287	125
Mmercenaria_contig_1545	45	82
Mmercenaria_contig_1546	353	216
Mmercenaria_contig_1547	33	36
Mmercenaria_contig_1548	159	141
Mmercenaria_contig_1549	120	47
Mmercenaria_contig_155	398	504
Mmercenaria_contig_1550	169	82
Mmercenaria_contig_1551	337	202
Mmercenaria_contig_1552	224	243
Mmercenaria_contig_1553	163	93
Mmercenaria_contig_1554	288	221
Mmercenaria_contig_1555	164	108
Mmercenaria_contig_1556	44	51
Mmercenaria_contig_1557	123	119
Mmercenaria_contig_1558	108	107
Mmercenaria_contig_1559	44	46
Mmercenaria_contig_156	52	151
Mmercenaria_contig_1560	837	231
Mmercenaria_contig_1561	300	202
Mmercenaria_contig_1562	850	396
Mmercenaria_contig_1563	270	241
Mmercenaria_contig_1564	66	33
Mmercenaria_contig_1565	60	78
Mmercenaria_contig_1566	261	154
Mmercenaria_contig_1567	65	114
Mmercenaria_contig_1568	133	70
Mmercenaria_contig_1569	272	195
Mmercenaria_contig_157	143	128
Mmercenaria_contig_1570	53	53
Mmercenaria_contig_1571	15	6
Mmercenaria_contig_1572	72	90
Mmercenaria_contig_1573	245	143
Mmercenaria_contig_1574	65	113
Mmercenaria_contig_1575	351	285
Mmercenaria_contig_1576	364	330
Mmercenaria_contig_1577	148	112
Mmercenaria_contig_1578	89	100
Mmercenaria_contig_1579	50	77
Mmercenaria_contig_158	74	74
Mmercenaria_contig_1580	95	92
Mmercenaria_contig_1581	167	109
Mmercenaria_contig_1582	82	30
Mmercenaria_contig_1583	487	348
Mmercenaria_contig_1584	171	107
Mmercenaria_contig_1585	174	147
Mmercenaria_contig_1586	173	106
Mmercenaria_contig_1587	81	85
Mmercenaria_contig_1588	128	160
Mmercenaria_contig_1589	204	174
Mmercenaria_contig_159	69	44
Mmercenaria_contig_1590	905	776
Mmercenaria_contig_1591	114	172
Mmercenaria_contig_1592	257	275
Mmercenaria_contig_1593	283	201
Mmercenaria_contig_1594	261	244
Mmercenaria_contig_1595	148	78
Mmercenaria_contig_1596	223	117
Mmercenaria_contig_1597	805	536
Mmercenaria_contig_1598	219	250
Mmercenaria_contig_1599	183	105
Mmercenaria_contig_16	119	172
Mmercenaria_contig_160	256	187
Mmercenaria_contig_1600	185	206
Mmercenaria_contig_1601	243	139
Mmercenaria_contig_1602	78	26
Mmercenaria_contig_1603	1254	1088
Mmercenaria_contig_1604	238	168
Mmercenaria_contig_1605	234	207
Mmercenaria_contig_1606	100	172
Mmercenaria_contig_1607	185	105
Mmercenaria_contig_1608	217	210
Mmercenaria_contig_1609	348	287
Mmercenaria_contig_161	269	273
Mmercenaria_contig_1610	216	183
Mmercenaria_contig_1611	41	119
Mmercenaria_contig_1612	302	184
Mmercenaria_contig_1613	69	68
Mmercenaria_contig_1614	261	423
Mmercenaria_contig_1615	146	138
Mmercenaria_contig_1616	71	48
Mmercenaria_contig_1617	457	315
Mmercenaria_contig_1618	148	165
Mmercenaria_contig_1619	109	65
Mmercenaria_contig_162	44	28
Mmercenaria_contig_1620	245	150
Mmercenaria_contig_1621	143	139
Mmercenaria_contig_1622	762	590
Mmercenaria_contig_1623	641	360
Mmercenaria_contig_1624	383	266
Mmercenaria_contig_1625	134	108
Mmercenaria_contig_1626	69	45
Mmercenaria_contig_1627	131	104
Mmercenaria_contig_1628	262	54
Mmercenaria_contig_1629	891	110
Mmercenaria_contig_163	166	91
Mmercenaria_contig_1630	393	232
Mmercenaria_contig_1631	184	200
Mmercenaria_contig_1632	383	267
Mmercenaria_contig_1633	106	89
Mmercenaria_contig_1634	38	27
Mmercenaria_contig_1635	401	307
Mmercenaria_contig_1636	341	279
Mmercenaria_contig_1637	179	168
Mmercenaria_contig_1638	158	100
Mmercenaria_contig_1639	96	100
Mmercenaria_contig_164	176	115
Mmercenaria_contig_1640	136	159
Mmercenaria_contig_1641	123	63
Mmercenaria_contig_1642	234	147
Mmercenaria_contig_1643	111	168
Mmercenaria_contig_1644	76	74
Mmercenaria_contig_1645	85	108
Mmercenaria_contig_1646	120	103
Mmercenaria_contig_1647	119	87
Mmercenaria_contig_1648	155	87
Mmercenaria_contig_1649	123	74
Mmercenaria_contig_165	61	51
Mmercenaria_contig_1650	111	85
Mmercenaria_contig_1651	122	100
Mmercenaria_contig_1652	88	86
Mmercenaria_contig_1653	278	158
Mmercenaria_contig_1654	89	57
Mmercenaria_contig_1655	870	355
Mmercenaria_contig_1656	107	103
Mmercenaria_contig_1657	495	426
Mmercenaria_contig_1658	89	92
Mmercenaria_contig_1659	102	57
Mmercenaria_contig_166	242	146
Mmercenaria_contig_1660	85	90
Mmercenaria_contig_1661	334	382
Mmercenaria_contig_1662	152	166
Mmercenaria_contig_1663	203	138
Mmercenaria_contig_1664	109	119
Mmercenaria_contig_1665	161	119
Mmercenaria_contig_1666	226	178
Mmercenaria_contig_1667	480	267
Mmercenaria_contig_1668	169	114
Mmercenaria_contig_1669	205	100
Mmercenaria_contig_167	84	115
Mmercenaria_contig_1670	73	114
Mmercenaria_contig_1671	305	208
Mmercenaria_contig_1672	194	157
Mmercenaria_contig_1673	147	67
Mmercenaria_contig_1674	98	93
Mmercenaria_contig_1675	70	96
Mmercenaria_contig_1676	48	65
Mmercenaria_contig_1677	144	77
Mmercenaria_contig_1678	87	80
Mmercenaria_contig_1679	103	83
Mmercenaria_contig_168	70	89
Mmercenaria_contig_1680	73	74
Mmercenaria_contig_1681	156	95
Mmercenaria_contig_1682	375	239
Mmercenaria_contig_1683	343	296
Mmercenaria_contig_1684	376	219
Mmercenaria_contig_1685	60	60
Mmercenaria_contig_1686	605	413
Mmercenaria_contig_1687	132	233
Mmercenaria_contig_1688	283	238
Mmercenaria_contig_1689	267	219
Mmercenaria_contig_169	214	158
Mmercenaria_contig_1690	105	234
Mmercenaria_contig_1691	64	68
Mmercenaria_contig_1692	88	60
Mmercenaria_contig_1693	1474	72
Mmercenaria_contig_1694	180	98
Mmercenaria_contig_1695	111	83
Mmercenaria_contig_1696	214	157
Mmercenaria_contig_1697	305	213
Mmercenaria_contig_1698	258	71
Mmercenaria_contig_1699	203	165
