Contig	Lean 	Siscowet 
Snamaycush_0560	16	10
Snamaycush_0561	57	24
Snamaycush_0562	37	14
Snamaycush_0563	0	0
Snamaycush_0564	351	219
Snamaycush_0565	130	108
Snamaycush_0566	1	5
Snamaycush_0567	20	12
Snamaycush_0568	3	4
Snamaycush_0569	2021	1695
Snamaycush_0570	0	0
Snamaycush_0571	265	172
Snamaycush_0572	9	2
Snamaycush_0573	54	37
Snamaycush_0574	0	3
Snamaycush_0575	3	6
Snamaycush_0576	22	22
Snamaycush_0577	6	5
Snamaycush_0578	0	0
Snamaycush_0579	15596	11806
Snamaycush_0580	172	99
Snamaycush_0581	0	0
Snamaycush_0582	1	4
Snamaycush_0583	65	46
Snamaycush_0584	172	178
Snamaycush_0585	14	14
Snamaycush_0586	15	13
Snamaycush_0587	2	3
Snamaycush_0588	15	7
Snamaycush_0589	120	162
Snamaycush_0590	70	58
Snamaycush_0591	6	4
Snamaycush_0592	4	7
Snamaycush_0593	185	255
Snamaycush_0594	53	47
Snamaycush_0595	30	15
Snamaycush_0596	5	3
Snamaycush_0597	10	12
Snamaycush_0598	7	10
Snamaycush_0599	16	9
Snamaycush_0600	0	0
Snamaycush_0601	15	21
Snamaycush_0602	325	274
Snamaycush_0603	2	1
Snamaycush_0604	2758	2302
Snamaycush_0605	115	83
Snamaycush_0606	67	49
Snamaycush_0607	8184	6590
Snamaycush_0608	13	24
Snamaycush_0609	32	15
Snamaycush_0610	1	6
Snamaycush_0611	63	38
Snamaycush_0612	95	107
Snamaycush_0613	32	28
Snamaycush_0614	651	426
Snamaycush_0615	169	197
Snamaycush_0616	119	144
Snamaycush_0617	19	11
Snamaycush_0618	3	1
Snamaycush_0619	6	15
Snamaycush_0620	0	0
Snamaycush_0621	1	0
Snamaycush_0622	1	0
Snamaycush_0623	14	9
Snamaycush_0624	3	7
Snamaycush_0625	459	351
Snamaycush_0626	8	8
Snamaycush_0627	164	107
Snamaycush_0628	355	331
Snamaycush_0629	5	3
Snamaycush_0630	16	11
Snamaycush_0631	4	4
Snamaycush_0632	2	1
Snamaycush_0633	1	1
Snamaycush_0634	9	9
Snamaycush_0635	0	2
Snamaycush_0636	0	1
Snamaycush_0637	1	1
Snamaycush_0638	2	0
Snamaycush_0639	5	2
Snamaycush_0640	0	1
Snamaycush_0641	20	8
Snamaycush_0642	22	11
Snamaycush_0643	121	88
Snamaycush_0644	16	14
Snamaycush_0645	60	37
Snamaycush_0646	1630	1428
Snamaycush_0647	34	17
Snamaycush_0648	26	14
Snamaycush_0649	79	51
Snamaycush_0650	5	7
Snamaycush_0651	74	63
Snamaycush_0652	0	0
Snamaycush_0653	4	2
Snamaycush_0654	21	14
Snamaycush_0655	607	464
Snamaycush_0656	20	11
Snamaycush_0657	15	8
Snamaycush_0658	6	5
Snamaycush_0659	0	0
Snamaycush_0660	1355	1327
Snamaycush_0661	101	99
Snamaycush_0662	5	4
Snamaycush_0663	116	97
Snamaycush_0664	0	0
Snamaycush_0665	221	248
Snamaycush_0666	29	42
Snamaycush_0667	114	64
