"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"ruditapes_c22885"	4.45435403187374	2.49443825784929	6.41426980589818	2.57142857142857	1.36257007938471	0.624081576686403	1
"ruditapes_c22886"	0	0	0	NA	NA	NA	NA
"ruditapes_c22887"	7.57240185418536	8.73053390247253	6.41426980589818	0.73469387755102	-0.444784842672896	0.874784573814304	1
"ruditapes_c22888"	0	0	0	NA	NA	NA	NA
"ruditapes_c22889"	2.22717701593687	1.24721912892465	3.20713490294909	2.57142857142857	1.36257007938471	0.822276570717056	1
"ruditapes_c2289"	2.04900285466192	2.49443825784929	1.60356745147455	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22890"	0	0	0	NA	NA	NA	NA
"ruditapes_c22891"	0	0	0	NA	NA	NA	NA
"ruditapes_c22892"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes_c22893"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes_c22895"	0.623609564462323	1.24721912892465	0	0	-Inf	0.882653316427872	1
"ruditapes_c22896"	0	0	0	NA	NA	NA	NA
"ruditapes_c22897"	0	0	0	NA	NA	NA	NA
"ruditapes_c22899"	2.67261241912424	3.74165738677394	1.60356745147455	0.428571428571429	-1.22239242133645	0.77044558492487	1
"ruditapes_c2290"	10.6013625958595	9.97775303139717	11.2249721603218	1.125	0.169925001442312	0.990512978514867	1
"ruditapes_c22901"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes_c22902"	0	0	0	NA	NA	NA	NA
"ruditapes_c22903"	0	0	0	NA	NA	NA	NA
"ruditapes_c22904"	0	0	0	NA	NA	NA	NA
"ruditapes_c22905"	6.9042487494043	4.98887651569859	8.81962098311	1.76785714285714	0.822001698022006	0.730291508114309	1
"ruditapes_c22906"	29.6659978522791	44.8998886412873	14.4321070632709	0.321428571428571	-1.63742992061529	0.237153578839142	1
"ruditapes_c22907"	0	0	0	NA	NA	NA	NA
"ruditapes_c22908"	6.5479004268544	7.48331477354788	5.61248608016091	0.75	-0.415037499278844	0.907749485595947	1
"ruditapes_c22909"	1.82628515306823	1.24721912892465	2.40535117721182	1.92857142857143	0.947532580105864	0.98821490147066	1
"ruditapes_c22911"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22913"	0	0	0	NA	NA	NA	NA
"ruditapes_c22914"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes_c22916"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22917"	11.3140592409593	4.98887651569859	17.63924196622	3.53571428571429	1.82200169802201	0.297401588499212	1
"ruditapes_c22919"	0	0	0	NA	NA	NA	NA
"ruditapes_c2292"	23.7862505302058	29.9332590941915	17.63924196622	0.589285714285714	-0.762960802699151	0.59962644555723	1
"ruditapes_c22921"	0	0	0	NA	NA	NA	NA
"ruditapes_c22922"	0	0	0	NA	NA	NA	NA
"ruditapes_c22923"	0	0	0	NA	NA	NA	NA
"ruditapes_c22924"	0	0	0	NA	NA	NA	NA
"ruditapes_c22925"	15.0557166277332	12.4721912892465	17.63924196622	1.41428571428571	0.500073603134643	0.784425892723326	1
